2019-05-20 19:47:14:160 950 sec: 1232 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=812543, Min=732672, Avg=764553.85, 90=804351, 99=812543, 99.9=812543, 99.99=812543] 
2019-05-20 19:47:24:160 960 sec: 1245 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=812543, Min=698368, Avg=752462.77, 90=800255, 99=812543, 99.9=812543, 99.99=812543] 
2019-05-20 19:47:34:160 970 sec: 1258 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=809471, Min=722944, Avg=757819.08, 90=805887, 99=809471, 99.9=809471, 99.99=809471] 
2019-05-20 19:47:44:159 980 sec: 1271 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=833023, Min=716288, Avg=767783.38, 90=821247, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-20 19:47:54:159 990 sec: 1284 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=833023, Min=694784, Avg=771997.54, 90=821759, 99=833023, 99.9=833023, 99.99=833023] 
2019-05-20 19:48:04:161 1000 sec: 1297 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=880639, Min=715264, Avg=767547.08, 90=817151, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-20 19:48:14:161 1010 sec: 1310 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=820223, Min=700928, Avg=762505.85, 90=817151, 99=820223, 99.9=820223, 99.99=820223] 
2019-05-20 19:48:24:159 1020 sec: 1324 operations; 1.4 current ops/sec; est completion in 8 minutes [READ: Count=14, Max=841215, Min=697344, Avg=759259.43, 90=807935, 99=841215, 99.9=841215, 99.99=841215] 
2019-05-20 19:48:34:160 1030 sec: 1336 operations; 1.2 current ops/sec; est completion in 8 minutes [READ: Count=12, Max=830975, Min=703488, Avg=775168, 90=829439, 99=830975, 99.9=830975, 99.99=830975] 
2019-05-20 19:48:44:160 1040 sec: 1349 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=839167, Min=710656, Avg=772982.15, 90=833023, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-20 19:48:54:160 1050 sec: 1362 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=862719, Min=684032, Avg=765105.23, 90=837119, 99=862719, 99.9=862719, 99.99=862719] 
