2019-05-21 07:52:57:104 490 sec: 634 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=831487, Min=689152, Avg=757188.92, 90=817151, 99=831487, 99.9=831487, 99.99=831487] 
2019-05-21 07:53:07:104 500 sec: 647 operations; 1.3 current ops/sec; est completion in 11 minutes [READ: Count=13, Max=842751, Min=713216, Avg=769949.54, 90=819711, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 07:53:17:104 510 sec: 660 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=849919, Min=687616, Avg=766444.31, 90=830975, 99=849919, 99.9=849919, 99.99=849919] 
2019-05-21 07:53:27:104 520 sec: 673 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=824831, Min=715776, Avg=772509.54, 90=823807, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-21 07:53:37:105 530 sec: 686 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=855551, Min=694784, Avg=762663.38, 90=828927, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-21 07:53:47:104 540 sec: 699 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=857599, Min=716288, Avg=776763.08, 90=841215, 99=857599, 99.9=857599, 99.99=857599] 
2019-05-21 07:53:57:104 550 sec: 712 operations; 1.3 current ops/sec; est completion in 10 minutes [READ: Count=13, Max=856063, Min=699392, Avg=769437.54, 90=831487, 99=856063, 99.9=856063, 99.99=856063] 
2019-05-21 07:54:07:103 560 sec: 725 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=848383, Min=700416, Avg=776093.54, 90=832511, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-21 07:54:17:104 570 sec: 738 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=812543, Min=697856, Avg=758409.85, 90=805887, 99=812543, 99.9=812543, 99.99=812543] 
2019-05-21 07:54:27:103 580 sec: 751 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=848383, Min=716800, Avg=771131.08, 90=831487, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-21 07:54:37:104 590 sec: 764 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=840703, Min=694784, Avg=773257.85, 90=840191, 99=840703, 99.9=840703, 99.99=840703] 
2019-05-21 07:54:47:104 600 sec: 777 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=882687, Min=724480, Avg=771249.23, 90=820735, 99=882687, 99.9=882687, 99.99=882687] 
2019-05-21 07:54:57:104 610 sec: 790 operations; 1.3 current ops/sec; est completion in 9 minutes [READ: Count=13, Max=839679, Min=714752, Avg=772509.54, 90=838655, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-21 07:55:07:104 620 sec: 803 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=843263, Min=709632, Avg=767744, 90=810495, 99=843263, 99.9=843263, 99.99=843263] 
2019-05-21 07:55:17:104 630 sec: 816 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=830463, Min=701952, Avg=769752.62, 90=823807, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-21 07:55:27:104 640 sec: 829 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=861695, Min=717312, Avg=771603.69, 90=822783, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-21 07:55:37:104 650 sec: 842 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=865279, Min=685056, Avg=769201.23, 90=829951, 99=865279, 99.9=865279, 99.99=865279] 
2019-05-21 07:55:47:103 660 sec: 855 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=872959, Min=719872, Avg=773415.38, 90=819711, 99=872959, 99.9=872959, 99.99=872959] 
2019-05-21 07:55:57:104 670 sec: 868 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=867327, Min=714240, Avg=772745.85, 90=842239, 99=867327, 99.9=867327, 99.99=867327] 
2019-05-21 07:56:07:104 680 sec: 881 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=839167, Min=730624, Avg=764514.46, 90=797183, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 07:56:17:104 690 sec: 894 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=823295, Min=719872, Avg=764199.38, 90=815615, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-21 07:56:27:103 700 sec: 907 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=826367, Min=713216, Avg=764475.08, 90=813567, 99=826367, 99.9=826367, 99.99=826367] 
2019-05-21 07:56:37:103 710 sec: 920 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=859647, Min=705024, Avg=767428.92, 90=820223, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-21 07:56:47:103 720 sec: 933 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=863743, Min=699904, Avg=776960, 90=843775, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-21 07:56:57:104 730 sec: 946 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=839167, Min=712704, Avg=759197.54, 90=823807, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 07:57:07:104 740 sec: 959 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=816639, Min=728576, Avg=766838.15, 90=804863, 99=816639, 99.9=816639, 99.99=816639] 
2019-05-21 07:57:17:104 750 sec: 972 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=824831, Min=701440, Avg=768925.54, 90=812543, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-21 07:57:27:104 760 sec: 985 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=821247, Min=695296, Avg=762190.77, 90=814591, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-21 07:57:37:103 770 sec: 998 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=846335, Min=720384, Avg=762427.08, 90=819199, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-21 07:57:47:104 780 sec: 1011 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=880639, Min=730624, Avg=781095.38, 90=843263, 99=880639, 99.9=880639, 99.99=880639] 
2019-05-21 07:57:57:104 790 sec: 1024 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=871935, Min=708096, Avg=765262.77, 90=823295, 99=871935, 99.9=871935, 99.99=871935] 
2019-05-21 07:58:07:104 800 sec: 1037 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=861695, Min=731136, Avg=786018.46, 90=840191, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-21 07:58:17:103 810 sec: 1050 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=836607, Min=720384, Avg=774163.69, 90=834047, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-21 07:58:27:103 820 sec: 1063 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=844799, Min=724480, Avg=771682.46, 90=831999, 99=844799, 99.9=844799, 99.99=844799] 
2019-05-21 07:58:37:103 830 sec: 1076 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=881151, Min=724992, Avg=777668.92, 90=834559, 99=881151, 99.9=881151, 99.99=881151] 
2019-05-21 07:58:47:104 840 sec: 1088 operations; 1.2 current ops/sec; est completion in 5 minutes [READ: Count=12, Max=839679, Min=720896, Avg=771157.33, 90=838655, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-21 07:58:57:104 850 sec: 1102 operations; 1.4 current ops/sec; est completion in 5 minutes [READ: Count=14, Max=839167, Min=708608, Avg=766720, 90=817663, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 07:59:07:104 860 sec: 1115 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=839167, Min=686592, Avg=759158.15, 90=823807, 99=839167, 99.9=839167, 99.99=839167] 
2019-05-21 07:59:17:103 870 sec: 1127 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=947711, Min=749056, Avg=824576, 90=879103, 99=947711, 99.9=947711, 99.99=947711] 
2019-05-21 07:59:27:104 880 sec: 1138 operations; 1.1 current ops/sec; est completion in 4 minutes [READ: Count=11, Max=993279, Min=793600, Avg=877730.91, 90=954879, 99=993279, 99.9=993279, 99.99=993279] 
2019-05-21 07:59:37:104 890 sec: 1148 operations; 1 current ops/sec; est completion in 4 minutes [READ: Count=10, Max=1011711, Min=806912, Avg=889395.2, 90=983551, 99=1011711, 99.9=1011711, 99.99=1011711] 
2019-05-21 07:59:41:618 894 sec: 1500 operations; 77.96 current ops/sec; [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [CLEANUP: Count=1, Max=3, Min=3, Avg=3, 90=3, 99=3, 99.9=3, 99.99=3] [READ-FAILED: Count=352, Max=4370431, Min=1943, Avg=17587.52, 90=9271, 99=10847, 99.9=4370431, 99.99=4370431] 
