2019-05-21 01:26:42:790 840 sec: 1099 operations; 1.4 current ops/sec; est completion in 5 minutes [READ: Count=14, Max=819711, Min=695808, Avg=761088, 90=812031, 99=819711, 99.9=819711, 99.99=819711] 
2019-05-21 01:26:52:791 850 sec: 1112 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=839679, Min=722944, Avg=772036.92, 90=829439, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-21 01:27:02:792 860 sec: 1125 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=892415, Min=713728, Avg=767980.31, 90=819711, 99=892415, 99.9=892415, 99.99=892415] 
2019-05-21 01:27:12:790 870 sec: 1138 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=809983, Min=711168, Avg=752580.92, 90=795135, 99=809983, 99.9=809983, 99.99=809983] 
2019-05-21 01:27:22:790 880 sec: 1151 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=858623, Min=704000, Avg=756322.46, 90=813567, 99=858623, 99.9=858623, 99.99=858623] 
2019-05-21 01:27:32:790 890 sec: 1164 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=851967, Min=714752, Avg=769319.38, 90=818175, 99=851967, 99.9=851967, 99.99=851967] 
2019-05-21 01:27:42:790 900 sec: 1177 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=819199, Min=710144, Avg=759473.23, 90=809471, 99=819199, 99.9=819199, 99.99=819199] 
2019-05-21 01:27:52:790 910 sec: 1190 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=828927, Min=733184, Avg=766444.31, 90=813055, 99=828927, 99.9=828927, 99.99=828927] 
2019-05-21 01:28:02:792 920 sec: 1203 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=860671, Min=715776, Avg=767153.23, 90=855551, 99=860671, 99.9=860671, 99.99=860671] 
2019-05-21 01:28:12:791 930 sec: 1216 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=842751, Min=704000, Avg=767310.77, 90=823807, 99=842751, 99.9=842751, 99.99=842751] 
2019-05-21 01:28:22:791 940 sec: 1230 operations; 1.4 current ops/sec; est completion in 3 minutes [READ: Count=14, Max=854527, Min=699392, Avg=756992, 90=815615, 99=854527, 99.9=854527, 99.99=854527] 
2019-05-21 01:28:32:790 950 sec: 1243 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=895999, Min=712192, Avg=767035.08, 90=837119, 99=895999, 99.9=895999, 99.99=895999] 
2019-05-21 01:28:42:791 960 sec: 1256 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=823807, Min=711168, Avg=758882.46, 90=822271, 99=823807, 99.9=823807, 99.99=823807] 
