2019-05-20 23:52:24:927 630 sec: 821 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=836607, Min=716288, Avg=765656.62, 90=810495, 99=836607, 99.9=836607, 99.99=836607] 
2019-05-20 23:52:34:928 640 sec: 834 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=818175, Min=701440, Avg=755889.23, 90=816639, 99=818175, 99.9=818175, 99.99=818175] 
2019-05-20 23:52:44:928 650 sec: 847 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=861695, Min=715264, Avg=766877.54, 90=820223, 99=861695, 99.9=861695, 99.99=861695] 
2019-05-20 23:52:54:927 660 sec: 860 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=852991, Min=707584, Avg=767271.38, 90=824319, 99=852991, 99.9=852991, 99.99=852991] 
2019-05-20 23:53:04:928 670 sec: 873 operations; 1.3 current ops/sec; est completion in 8 minutes [READ: Count=13, Max=828415, Min=706048, Avg=758646.15, 90=811519, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-20 23:53:14:929 680 sec: 886 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=841727, Min=727040, Avg=764081.23, 90=833023, 99=841727, 99.9=841727, 99.99=841727] 
2019-05-20 23:53:24:927 690 sec: 899 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=839679, Min=706560, Avg=760969.85, 90=824831, 99=839679, 99.9=839679, 99.99=839679] 
2019-05-20 23:53:34:927 700 sec: 912 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=862207, Min=735744, Avg=783379.69, 90=837119, 99=862207, 99.9=862207, 99.99=862207] 
2019-05-20 23:53:44:927 710 sec: 925 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=818687, Min=723456, Avg=762151.38, 90=814591, 99=818687, 99.9=818687, 99.99=818687] 
2019-05-20 23:53:54:927 720 sec: 938 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=882687, Min=716800, Avg=770382.77, 90=844287, 99=882687, 99.9=882687, 99.99=882687] 
2019-05-20 23:54:04:927 730 sec: 951 operations; 1.3 current ops/sec; est completion in 7 minutes [READ: Count=13, Max=847871, Min=718848, Avg=763451.08, 90=823295, 99=847871, 99.9=847871, 99.99=847871] 
2019-05-20 23:54:14:927 740 sec: 965 operations; 1.4 current ops/sec; est completion in 6 minutes [READ: Count=14, Max=821247, Min=651776, Avg=756553.14, 90=821247, 99=821247, 99.9=821247, 99.99=821247] 
2019-05-20 23:54:24:927 750 sec: 978 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=851455, Min=689664, Avg=756125.54, 90=836095, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-20 23:54:34:927 760 sec: 991 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=847871, Min=706048, Avg=762269.54, 90=813055, 99=847871, 99.9=847871, 99.99=847871] 
