2019-05-30 22:10:17:767 950 sec: 1161 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=941055, Min=726528, Avg=812957.54, 90=907775, 99=941055, 99.9=941055, 99.99=941055] 
2019-05-30 22:10:27:766 960 sec: 1173 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=997887, Min=721408, Avg=834389.33, 90=941567, 99=997887, 99.9=997887, 99.99=997887] 
2019-05-30 22:10:37:766 970 sec: 1185 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=902143, Min=716800, Avg=793728, 90=878079, 99=902143, 99.9=902143, 99.99=902143] 
2019-05-30 22:10:47:766 980 sec: 1197 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=936447, Min=719360, Avg=828928, 90=910847, 99=936447, 99.9=936447, 99.99=936447] 
2019-05-30 22:10:57:766 990 sec: 1210 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=855551, Min=710656, Avg=802363.08, 90=836095, 99=855551, 99.9=855551, 99.99=855551] 
2019-05-30 22:11:07:767 1000 sec: 1222 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=929791, Min=709632, Avg=828501.33, 90=910335, 99=929791, 99.9=929791, 99.99=929791] 
2019-05-30 22:11:17:766 1010 sec: 1234 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=906239, Min=736768, Avg=804096, 90=891391, 99=906239, 99.9=906239, 99.99=906239] 
2019-05-30 22:11:27:766 1020 sec: 1246 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=924159, Min=709632, Avg=815061.33, 90=911871, 99=924159, 99.9=924159, 99.99=924159] 
2019-05-30 22:11:37:766 1030 sec: 1259 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=913407, Min=741376, Avg=825206.15, 90=891903, 99=913407, 99.9=913407, 99.99=913407] 
2019-05-30 22:11:47:766 1040 sec: 1271 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=895999, Min=728064, Avg=812160, 90=882687, 99=895999, 99.9=895999, 99.99=895999] 
2019-05-30 22:11:57:774 1050 sec: 1283 operations; 1.2 current ops/sec; est completion in 2 minutes [READ: Count=12, Max=916991, Min=729600, Avg=834901.33, 90=902655, 99=916991, 99.9=916991, 99.99=916991] 
2019-05-30 22:12:07:766 1060 sec: 1295 operations; 1.2 current ops/sec; est completion in 2 minutes [READ: Count=12, Max=950783, Min=786432, Avg=848810.67, 90=941055, 99=950783, 99.9=950783, 99.99=950783] 
