2019-05-18 00:52:50:335 480 sec: 607 operations; 1.2 current ops/sec; est completion in 57 minutes [READ: Count=12, Max=937471, Min=743936, Avg=818090.67, 90=904703, 99=937471, 99.9=937471, 99.99=937471] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:53:00:335 490 sec: 619 operations; 1.2 current ops/sec; est completion in 57 minutes [READ: Count=12, Max=863743, Min=748544, Avg=799232, 90=859135, 99=863743, 99.9=863743, 99.99=863743] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:53:10:335 500 sec: 632 operations; 1.3 current ops/sec; est completion in 57 minutes [READ: Count=13, Max=863231, Min=757760, Avg=797912.62, 90=863231, 99=863231, 99.9=863231, 99.99=863231] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:53:20:335 510 sec: 644 operations; 1.2 current ops/sec; est completion in 57 minutes [READ: Count=12, Max=869375, Min=750080, Avg=797184, 90=859647, 99=869375, 99.9=869375, 99.99=869375] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:53:30:335 520 sec: 657 operations; 1.3 current ops/sec; est completion in 57 minutes [READ: Count=13, Max=891391, Min=736256, Avg=796258.46, 90=842751, 99=891391, 99.9=891391, 99.99=891391] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:53:40:335 530 sec: 669 operations; 1.2 current ops/sec; est completion in 57 minutes [READ: Count=12, Max=886271, Min=740352, Avg=801109.33, 90=873471, 99=886271, 99.9=886271, 99.99=886271] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:53:50:335 540 sec: 682 operations; 1.3 current ops/sec; est completion in 56 minutes [READ: Count=13, Max=910335, Min=695808, Avg=797203.69, 90=865791, 99=910335, 99.9=910335, 99.99=910335] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:54:00:335 550 sec: 694 operations; 1.2 current ops/sec; est completion in 56 minutes [READ: Count=12, Max=864255, Min=760320, Avg=803754.67, 90=858623, 99=864255, 99.9=864255, 99.99=864255] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:54:10:336 560 sec: 707 operations; 1.3 current ops/sec; est completion in 56 minutes [READ: Count=13, Max=869375, Min=761856, Avg=807049.85, 90=864255, 99=869375, 99.9=869375, 99.99=869375] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:54:20:335 570 sec: 719 operations; 1.2 current ops/sec; est completion in 56 minutes [READ: Count=12, Max=890879, Min=757248, Avg=805589.33, 90=875519, 99=890879, 99.9=890879, 99.99=890879] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:54:30:335 580 sec: 732 operations; 1.3 current ops/sec; est completion in 56 minutes [READ: Count=13, Max=868863, Min=748032, Avg=800236.31, 90=844799, 99=868863, 99.9=868863, 99.99=868863] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:54:40:335 590 sec: 744 operations; 1.2 current ops/sec; est completion in 56 minutes [READ: Count=12, Max=853503, Min=751104, Avg=792064, 90=837119, 99=853503, 99.9=853503, 99.99=853503] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:54:50:335 600 sec: 757 operations; 1.3 current ops/sec; est completion in 56 minutes [READ: Count=13, Max=882687, Min=763392, Avg=806498.46, 90=856575, 99=882687, 99.9=882687, 99.99=882687] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2019-05-18 00:55:00:335 610 sec: 769 operations; 1.2 current ops/sec; est completion in 55 minutes [READ: Count=12, Max=905727, Min=735232, Avg=796074.67, 90=840191, 99=905727, 99.9=905727, 99.99=905727] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
