2019-05-22 08:50:36:800 940 sec: 1221 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=824831, Min=681984, Avg=758173.54, 90=824831, 99=824831, 99.9=824831, 99.99=824831] 
2019-05-22 08:50:46:799 950 sec: 1234 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=838655, Min=726528, Avg=764908.31, 90=837631, 99=838655, 99.9=838655, 99.99=838655] 
2019-05-22 08:50:56:799 960 sec: 1247 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=852479, Min=690688, Avg=755613.54, 90=822783, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-22 08:51:06:801 970 sec: 1260 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=868863, Min=721920, Avg=785152, 90=848383, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-22 08:51:16:799 980 sec: 1273 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=856575, Min=665600, Avg=764002.46, 90=827903, 99=856575, 99.9=856575, 99.99=856575] 
2019-05-22 08:51:26:799 990 sec: 1286 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=853503, Min=701440, Avg=759788.31, 90=828415, 99=853503, 99.9=853503, 99.99=853503] 
2019-05-22 08:51:36:800 1000 sec: 1299 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=848383, Min=721408, Avg=767901.54, 90=833023, 99=848383, 99.9=848383, 99.99=848383] 
2019-05-22 08:51:46:800 1010 sec: 1312 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=859647, Min=712192, Avg=774754.46, 90=819711, 99=859647, 99.9=859647, 99.99=859647] 
2019-05-22 08:51:56:799 1020 sec: 1325 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=825855, Min=720896, Avg=771131.08, 90=819199, 99=825855, 99.9=825855, 99.99=825855] 
2019-05-22 08:52:06:799 1030 sec: 1338 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=863743, Min=716288, Avg=766641.23, 90=836095, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-22 08:52:16:799 1040 sec: 1351 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=833535, Min=708096, Avg=773297.23, 90=831487, 99=833535, 99.9=833535, 99.99=833535] 
2019-05-22 08:52:26:799 1050 sec: 1364 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=848383, Min=701440, Avg=773376, 90=837631, 99=848383, 99.9=848383, 99.99=848383] 
