2019-05-22 06:05:27:857 790 sec: 1029 operations; 1.3 current ops/sec; est completion in 6 minutes [READ: Count=13, Max=828415, Min=712704, Avg=762151.38, 90=827903, 99=828415, 99.9=828415, 99.99=828415] 
2019-05-22 06:05:37:857 800 sec: 1042 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=842239, Min=666112, Avg=750690.46, 90=826879, 99=842239, 99.9=842239, 99.99=842239] 
2019-05-22 06:05:47:857 810 sec: 1055 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=864767, Min=680960, Avg=755849.85, 90=829951, 99=864767, 99.9=864767, 99.99=864767] 
2019-05-22 06:05:57:857 820 sec: 1068 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=913407, Min=720384, Avg=773494.15, 90=857599, 99=913407, 99.9=913407, 99.99=913407] 
2019-05-22 06:06:07:857 830 sec: 1082 operations; 1.4 current ops/sec; est completion in 5 minutes [READ: Count=14, Max=861183, Min=669696, Avg=757650.29, 90=820735, 99=861183, 99.9=861183, 99.99=861183] 
2019-05-22 06:06:17:857 840 sec: 1095 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=845823, Min=708608, Avg=763805.54, 90=826879, 99=845823, 99.9=845823, 99.99=845823] 
2019-05-22 06:06:27:857 850 sec: 1108 operations; 1.3 current ops/sec; est completion in 5 minutes [READ: Count=13, Max=920063, Min=697344, Avg=776802.46, 90=840703, 99=920063, 99.9=920063, 99.99=920063] 
2019-05-22 06:06:37:857 860 sec: 1121 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=875007, Min=659456, Avg=761284.92, 90=862207, 99=875007, 99.9=875007, 99.99=875007] 
2019-05-22 06:06:47:857 870 sec: 1134 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=872959, Min=694272, Avg=771524.92, 90=834559, 99=872959, 99.9=872959, 99.99=872959] 
2019-05-22 06:06:57:857 880 sec: 1147 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=904191, Min=702464, Avg=774872.62, 90=876543, 99=904191, 99.9=904191, 99.99=904191] 
2019-05-22 06:07:07:857 890 sec: 1159 operations; 1.2 current ops/sec; est completion in 4 minutes [READ: Count=12, Max=846335, Min=713728, Avg=771712, 90=845311, 99=846335, 99.9=846335, 99.99=846335] 
2019-05-22 06:07:17:857 900 sec: 1172 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=851455, Min=729600, Avg=779677.54, 90=849407, 99=851455, 99.9=851455, 99.99=851455] 
2019-05-22 06:07:27:858 910 sec: 1185 operations; 1.3 current ops/sec; est completion in 4 minutes [READ: Count=13, Max=845311, Min=699392, Avg=762269.54, 90=842751, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-22 06:07:37:858 920 sec: 1198 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=863743, Min=697856, Avg=767468.31, 90=835583, 99=863743, 99.9=863743, 99.99=863743] 
2019-05-22 06:07:47:857 930 sec: 1211 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=866303, Min=698368, Avg=766326.15, 90=832511, 99=866303, 99.9=866303, 99.99=866303] 
2019-05-22 06:07:57:857 940 sec: 1224 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=893951, Min=704512, Avg=772982.15, 90=880127, 99=893951, 99.9=893951, 99.99=893951] 
2019-05-22 06:08:07:858 950 sec: 1238 operations; 1.4 current ops/sec; est completion in 3 minutes [READ: Count=14, Max=858111, Min=704512, Avg=755236.57, 90=826879, 99=858111, 99.9=858111, 99.99=858111] 
2019-05-22 06:08:17:857 960 sec: 1251 operations; 1.3 current ops/sec; est completion in 3 minutes [READ: Count=13, Max=823295, Min=722944, Avg=769988.92, 90=819711, 99=823295, 99.9=823295, 99.99=823295] 
2019-05-22 06:08:27:857 970 sec: 1263 operations; 1.2 current ops/sec; est completion in 3 minutes [READ: Count=12, Max=852479, Min=731136, Avg=773248, 90=839167, 99=852479, 99.9=852479, 99.99=852479] 
2019-05-22 06:08:37:857 980 sec: 1277 operations; 1.4 current ops/sec; est completion in 2 minutes [READ: Count=14, Max=862719, Min=714752, Avg=768219.43, 90=822271, 99=862719, 99.9=862719, 99.99=862719] 
2019-05-22 06:08:47:858 990 sec: 1290 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=836095, Min=730112, Avg=766759.38, 90=816127, 99=836095, 99.9=836095, 99.99=836095] 
2019-05-22 06:08:57:857 1000 sec: 1303 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=835583, Min=715264, Avg=766247.38, 90=835071, 99=835583, 99.9=835583, 99.99=835583] 
2019-05-22 06:09:07:857 1010 sec: 1316 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=845311, Min=718336, Avg=777117.54, 90=831487, 99=845311, 99.9=845311, 99.99=845311] 
2019-05-22 06:09:17:858 1020 sec: 1329 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=868863, Min=719872, Avg=766247.38, 90=820223, 99=868863, 99.9=868863, 99.99=868863] 
2019-05-22 06:09:27:858 1030 sec: 1342 operations; 1.3 current ops/sec; est completion in 2 minutes [READ: Count=13, Max=830463, Min=710656, Avg=757464.62, 90=822271, 99=830463, 99.9=830463, 99.99=830463] 
2019-05-22 06:09:37:857 1040 sec: 1355 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=870911, Min=693760, Avg=764553.85, 90=833023, 99=870911, 99.9=870911, 99.99=870911] 
2019-05-22 06:09:47:857 1050 sec: 1368 operations; 1.3 current ops/sec; est completion in 1 minute [READ: Count=13, Max=854015, Min=717824, Avg=765814.15, 90=824831, 99=854015, 99.9=854015, 99.99=854015] 
